"id","name","iata_code","icao_code","country","fleet_size","destination_count","alliance"
1,"Private flight","",NULL,"",NULL,NULL,NULL
2,"135 Airways","","GNL","United States",NULL,NULL,NULL
3,"1Time Airline","1T","RNX","South Africa",11,9,NULL
4,"2 Sqn No 1 Elementary Flying Training School","","WYT","United Kingdom",NULL,NULL,NULL
5,"213 Flight Unit","","TFU","Russia",NULL,NULL,NULL
6,"223 Flight Unit State Airline","","CHD","Russia",NULL,NULL,NULL
7,"224th Flight Unit","","TTF","Russia",NULL,NULL,NULL
8,"247 Jet Ltd","","TWF","United Kingdom",NULL,NULL,NULL
9,"3D Aviation","","SEC","United States",NULL,NULL,NULL
10,"40-Mile Air","Q5","MLA","United States",NULL,NULL,NULL
11,"4D Air","","QRT","Thailand",NULL,NULL,NULL
12,"611897 Alberta Limited","","THD","Canada",NULL,NULL,NULL
13,"Ansett Australia","AN","AAA","Australia",NULL,NULL,NULL
14,"Abacus International","1B","","Singapore",NULL,NULL,NULL
15,"Abelag Aviation","W9","AAB","Belgium",NULL,NULL,NULL
16,"Army Air Corps","","AAC","United Kingdom",NULL,NULL,NULL
17,"Aero Aviation Centre Ltd.","","AAD","Canada",NULL,NULL,NULL
18,"Aero Servicios Ejecutivos Internacionales","","SII","Mexico",NULL,NULL,NULL
19,"Aero Biniza","","BZS","Mexico",NULL,NULL,NULL
20,"Aero Albatros","","ALB","Spain",NULL,NULL,NULL
21,"Aigle Azur","ZI","AAF","France",11,21,NULL
22,"Aloha Airlines","AQ","AAH","United States",22,20,NULL
23,"Alaska Island Air","","AAK","United States",NULL,NULL,NULL
24,"American Airlines","AA","AAL","United States",970,353,"Oneworld"
25,"Aviation Management Corporation","","AAM","United States",NULL,NULL,NULL
26,"Atlantis Airlines (USA)","","AAO","United States",NULL,NULL,NULL
27,"Aerovista Airlines","","AAP","United Arab Emirates",NULL,NULL,NULL
28,"Asiana Airlines","OZ","AAR","Republic of Korea",80,78,"Star Alliance"
29,"Askari Aviation","4K","AAS","Pakistan",NULL,NULL,NULL
30,"Australia Asia Airlines","","AAU","Australia",NULL,NULL,NULL
31,"Astro Air International","","AAV","United States",NULL,NULL,NULL
32,"Afriqiyah Airways","8U","AAW","Libya",14,14,NULL
33,"Afrinat International Airlines","Q9","AFU","Gambia",NULL,NULL,NULL
