"id","name","iata_code","city","country","latitude","longitude","destination_count","airline_count","annual_passenger","annual_flight","area","gate_count","runway_count","open_date"
1,"Goroka Airport","GKA","Goroka","Papua New Guinea",-6.081690,145.391998,2,2,NULL,NULL,NULL,NULL,2,NULL
2,"Madang Airport","MAG","Madang","Papua New Guinea",-5.207080,145.789001,4,2,NULL,NULL,NULL,NULL,1,NULL
3,"Mount Hagen Kagamuga Airport","HGU","Mount Hagen","Papua New Guinea",-5.826790,144.296005,6,2,NULL,NULL,NULL,NULL,2,NULL
4,"Nadzab Airport","LAE","Nadzab","Papua New Guinea",-6.569803,146.725977,5,2,NULL,NULL,NULL,NULL,1,NULL
5,"Port Moresby Jacksons International Airport","POM","Port Moresby","Papua New Guinea",-9.443380,147.220001,30,6,NULL,NULL,NULL,NULL,2,NULL
6,"Wewak International Airport","WWK","Wewak","Papua New Guinea",-3.583830,143.669006,5,2,NULL,NULL,NULL,NULL,1,NULL
7,"Narsarsuaq Airport","UAK","Narssarssuaq","Greenland",61.160500,-45.425999,8,2,26284,NULL,NULL,NULL,1,NULL
8,"Godthaab / Nuuk Airport","GOH","Godthaab","Greenland",64.190903,-51.678101,12,2,NULL,NULL,NULL,NULL,1,NULL
9,"Kangerlussuaq Airport","SFJ","Sondrestrom","Greenland",67.012222,-50.711603,NULL,NULL,133381,4826,NULL,NULL,1,NULL
10,"Thule Air Base","THU","Thule","Greenland",76.531197,-68.703201,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
11,"Akureyri Airport","AEY","Akureyri","Iceland",65.660004,-18.072701,7,5,202252,2018,NULL,NULL,1,NULL
12,"Egilsstaðir Airport","EGS","Egilsstadir","Iceland",65.283302,-14.401400,NULL,NULL,83954,NULL,NULL,NULL,1,NULL
13,"Hornafjörður Airport","HFN","Hofn","Iceland",64.295601,-15.227200,NULL,NULL,11183,NULL,NULL,NULL,1,NULL
14,"Húsavík Airport","HZK","Husavik","Iceland",65.952301,-17.426001,NULL,NULL,20394,NULL,NULL,NULL,1,NULL
