id,airline_code,airline_id,origin_airport_code,origin_airport_id,dest_airport_code,dest_airport_id
1,5J,1682,BCD,2302,CEB,3963
2,5J,1682,BCD,2302,CGY,7670
3,5J,1682,BCD,2302,DVO,3859
4,5J,1682,BCD,2302,MNL,2285
5,5J,1682,BKI,3077,MNL,2285
6,5J,1682,BKK,3677,MNL,2285
7,5J,1682,BWN,3080,MNL,2285
8,5J,1682,BXU,3958,CEB,3963
9,5J,1682,BXU,3958,MNL,2285
10,5J,1682,CAN,3168,MNL,2285
11,5J,1682,CBO,2286,MNL,2285
12,5J,1682,CEB,3963,BCD,2302
13,5J,1682,CEB,3963,BXU,3958
14,5J,1682,CEB,3963,CGM,4640
15,5J,1682,CEB,3963,CGY,7670
16,5J,1682,CEB,3963,CRK,3904
17,5J,1682,CEB,3963,DGT,2303
18,5J,1682,CEB,3963,DPL,3959
19,5J,1682,CEB,3963,DVO,3859
20,5J,1682,CEB,3963,GES,2289
21,5J,1682,CEB,3963,HKG,2911
22,5J,1682,CEB,3963,IAO,5270
23,5J,1682,CEB,3963,ICN,3717
24,5J,1682,CEB,3963,ILO,2306
25,5J,1682,CEB,3963,KLO,2307
26,5J,1682,CEB,3963,LGP,3961
27,5J,1682,CEB,3963,MNL,2285
28,5J,1682,CEB,3963,MPH,2304
29,5J,1682,CEB,3963,OZC,3962
30,5J,1682,CEB,3963,PAG,2288
31,5J,1682,CEB,3963,PPS,2308
32,5J,1682,CEB,3963,PUS,2262
33,5J,1682,CEB,3963,SIN,3119
34,5J,1682,CEB,3963,SUG,4643
35,5J,1682,CEB,3963,TAC,2301
36,5J,1682,CEB,3963,USU,3957
37,5J,1682,CEB,3963,ZAM,2290
38,5J,1682,CGK,3083,MNL,2285
39,5J,1682,CGM,4640,CEB,3963
40,5J,1682,CGY,7670,BCD,2302
41,5J,1682,CGY,7670,CEB,3963
42,5J,1682,CGY,7670,DVO,3859
43,5J,1682,CGY,7670,ILO,2306
44,5J,1682,CGY,7670,MNL,2285
45,5J,1682,CRK,3904,CEB,3963
46,5J,1682,CRK,3904,HKG,2911
47,5J,1682,CRK,3904,MFM,2953
48,5J,1682,CRK,3904,SIN,3119
49,5J,1682,CYZ,5101,MNL,2285
50,5J,1682,DGT,2303,CEB,3963
51,5J,1682,DGT,2303,MNL,2285
52,5J,1682,DPL,3959,CEB,3963
53,5J,1682,DPL,3959,DVO,3859
54,5J,1682,DPL,3959,MNL,2285
55,5J,1682,DPS,3726,MNL,2285
56,5J,1682,DVO,3859,BCD,2302
57,5J,1682,DVO,3859,CEB,3963
58,5J,1682,DVO,3859,CGY,7670
59,5J,1682,DVO,3859,DPL,3959
60,5J,1682,DVO,3859,ILO,2306
61,5J,1682,DVO,3859,MNL,2285
62,5J,1682,DVO,3859,PPS,2308
63,5J,1682,DVO,3859,ZAM,2290
64,5J,1682,DXB,2096,MNL,2285
65,5J,1682,GES,2289,CEB,3963
66,5J,1682,GES,2289,ILO,2306
67,5J,1682,GES,2289,MNL,2285
68,5J,1682,HAN,3020,MNL,2285
69,5J,1682,HKG,2911,CEB,3963
70,5J,1682,HKG,2911,CRK,3904
71,5J,1682,HKG,2911,ILO,2306
72,5J,1682,HKG,2911,MNL,2285
73,5J,1682,HKT,3007,MNL,2285
74,5J,1682,IAO,5270,CEB,3963
75,5J,1682,ICN,3717,CEB,3963
76,5J,1682,ICN,3717,KLO,2307
77,5J,1682,ICN,3717,MNL,2285
78,5J,1682,ILO,2306,CEB,3963
79,5J,1682,ILO,2306,CGY,7670
80,5J,1682,ILO,2306,DVO,3859
81,5J,1682,ILO,2306,GES,2289
82,5J,1682,ILO,2306,HKG,2911
83,5J,1682,ILO,2306,MNL,2285
84,5J,1682,ILO,2306,PPS,2308
85,5J,1682,ILO,2306,SIN,3119
86,5J,1682,KIX,3773,MNL,2285
87,5J,1682,KLO,2307,CEB,3963
88,5J,1682,KLO,2307,ICN,3717
89,5J,1682,KLO,2307,MNL,2285
90,5J,1682,KUL,3107,MNL,2285
91,5J,1682,LAO,3960,MNL,2285
92,5J,1682,LGP,3961,CEB,3963
93,5J,1682,LGP,3961,MNL,2285
94,5J,1682,MFM,2953,CRK,3904
95,5J,1682,MFM,2953,MNL,2285
96,5J,1682,MNL,2285,BCD,2302
97,5J,1682,MNL,2285,BKI,3077
98,5J,1682,MNL,2285,BKK,3677
99,5J,1682,MNL,2285,BWN,3080
100,5J,1682,MNL,2285,BXU,3958
101,5J,1682,MNL,2285,CAN,3168
102,5J,1682,MNL,2285,CBO,2286
103,5J,1682,MNL,2285,CEB,3963
104,5J,1682,MNL,2285,CGK,3083
105,5J,1682,MNL,2285,CGY,7670
106,5J,1682,MNL,2285,CYZ,5101
107,5J,1682,MNL,2285,DGT,2303
108,5J,1682,MNL,2285,DPL,3959
109,5J,1682,MNL,2285,DPS,3726
110,5J,1682,MNL,2285,DVO,3859
111,5J,1682,MNL,2285,DXB,2096
112,5J,1682,MNL,2285,GES,2289
113,5J,1682,MNL,2285,HAN,3020
114,5J,1682,MNL,2285,HKG,2911
115,5J,1682,MNL,2285,HKT,3007
116,5J,1682,MNL,2285,ICN,3717
117,5J,1682,MNL,2285,ILO,2306
118,5J,1682,MNL,2285,KIX,3773
119,5J,1682,MNL,2285,KLO,2307
120,5J,1682,MNL,2285,KUL,3107
121,5J,1682,MNL,2285,LAO,3960
122,5J,1682,MNL,2285,LGP,3961
123,5J,1682,MNL,2285,MFM,2953
124,5J,1682,MNL,2285,MPH,2304
125,5J,1682,MNL,2285,NGO,3728
126,5J,1682,MNL,2285,NRT,2177
127,5J,1682,MNL,2285,OZC,3962
128,5J,1682,MNL,2285,PAG,2288
129,5J,1682,MNL,2285,PEK,3164
130,5J,1682,MNL,2285,PPS,2308
131,5J,1682,MNL,2285,PUS,2262
132,5J,1682,MNL,2285,PVG,3201
133,5J,1682,MNL,2285,REP,2871
134,5J,1682,MNL,2285,RXS,4653
135,5J,1682,MNL,2285,SGN,3024
136,5J,1682,MNL,2285,SIN,3119
137,5J,1682,MNL,2285,SJI,2295
138,5J,1682,MNL,2285,TAC,2301
139,5J,1682,MNL,2285,TAG,3775
140,5J,1682,MNL,2285,TPE,2174
141,5J,1682,MNL,2285,TUG,4648
142,5J,1682,MNL,2285,USU,3957
143,5J,1682,MNL,2285,VRC,4649
144,5J,1682,MNL,2285,WNP,4645
145,5J,1682,MNL,2285,XMN,3181
146,5J,1682,MNL,2285,ZAM,2290
147,5J,1682,MPH,2304,CEB,3963
148,5J,1682,MPH,2304,MNL,2285
149,5J,1682,NGO,3728,MNL,2285
150,5J,1682,NRT,2177,MNL,2285
151,5J,1682,OZC,3962,CEB,3963
152,5J,1682,OZC,3962,MNL,2285
153,5J,1682,PAG,2288,CEB,3963
154,5J,1682,PAG,2288,MNL,2285
155,5J,1682,PEK,3164,MNL,2285
156,5J,1682,PPS,2308,CEB,3963
157,5J,1682,PPS,2308,DVO,3859
158,5J,1682,PPS,2308,ILO,2306
159,5J,1682,PPS,2308,MNL,2285
160,5J,1682,PUS,2262,CEB,3963
161,5J,1682,PUS,2262,MNL,2285
162,5J,1682,PVG,3201,MNL,2285
163,5J,1682,REP,2871,MNL,2285
164,5J,1682,RXS,4653,MNL,2285
165,5J,1682,SGN,3024,MNL,2285
166,5J,1682,SIN,3119,CEB,3963
167,5J,1682,SIN,3119,CRK,3904
168,5J,1682,SIN,3119,ILO,2306
169,5J,1682,SIN,3119,MNL,2285
170,5J,1682,SJI,2295,MNL,2285
171,5J,1682,SUG,4643,CEB,3963
172,5J,1682,TAC,2301,CEB,3963
173,5J,1682,TAC,2301,MNL,2285
174,5J,1682,TAG,3775,MNL,2285
175,5J,1682,TPE,2174,MNL,2285
176,5J,1682,TUG,4648,MNL,2285
177,5J,1682,USU,3957,CEB,3963
178,5J,1682,USU,3957,MNL,2285
179,5J,1682,VRC,4649,MNL,2285
180,5J,1682,WNP,4645,MNL,2285
181,5J,1682,XMN,3181,MNL,2285
182,5J,1682,ZAM,2290,CEB,3963
183,5J,1682,ZAM,2290,DVO,3859
184,5J,1682,ZAM,2290,MNL,2285
185,7C,2992,BKK,3677,ICN,3717
186,7C,2992,BKK,3677,PUS,2262
187,7C,2992,CEB,3963,ICN,3717
188,7C,2992,CEB,3963,PUS,2262
189,7C,2992,CJJ,4636,CJU,2260
190,7C,2992,CJU,2260,CJJ,4636
191,7C,2992,CJU,2260,GMP,2267
192,7C,2992,CJU,2260,PUS,2262
193,7C,2992,FUK,2202,ICN,3717
194,7C,2992,GMP,2267,CJU,2260
195,7C,2992,GMP,2267,KIX,3773
196,7C,2992,GMP,2267,NGO,3728
197,7C,2992,GUM,2147,ICN,3717
198,7C,2992,HKG,2911,ICN,3717
199,7C,2992,ICN,3717,BKK,3677
200,7C,2992,ICN,3717,CEB,3963
201,7C,2992,ICN,3717,FUK,2202
202,7C,2992,ICN,3717,GUM,2147
203,7C,2992,ICN,3717,HKG,2911
204,7C,2992,ICN,3717,KIX,3773
205,7C,2992,ICN,3717,MNL,2285
206,7C,2992,ICN,3717,NGO,3728
207,7C,2992,ICN,3717,NRT,2177
208,7C,2992,ICN,3717,TAO,3188
209,7C,2992,KIX,3773,GMP,2267
210,7C,2992,KIX,3773,ICN,3717
211,7C,2992,MNL,2285,ICN,3717
212,7C,2992,NGO,3728,GMP,2267
213,7C,2992,NGO,3728,ICN,3717
214,7C,2992,NRT,2177,ICN,3717
215,7C,2992,PUS,2262,BKK,3677
216,7C,2992,PUS,2262,CJU,2260
217,7C,2992,TAO,3188,ICN,3717
218,A3,96,AOK,1419,ATH,3727
219,A3,96,AOK,1419,KSJ,1421
220,A3,96,AOK,1419,RHO,1432
221,A3,96,ARN,721,KLX,1416
222,A3,96,ARN,721,SKG,1445
223,A3,96,ATH,3727,AOK,1419
224,A3,96,ATH,3727,AUH,2088
225,A3,96,ATH,3727,AXD,1406
226,A3,96,ATH,3727,BCN,1182
227,A3,96,ATH,3727,BEG,1681
228,A3,96,ATH,3727,BRU,300
229,A3,96,ATH,3727,BUD,1448
230,A3,96,ATH,3727,CAI,1096
231,A3,96,ATH,3727,CDG,1342
232,A3,96,ATH,3727,CFU,1420
233,A3,96,ATH,3727,CHQ,1434
234,A3,96,ATH,3727,DME,3807
235,A3,96,ATH,3727,DUS,342
236,A3,96,ATH,3727,EFL,1415
237,A3,96,ATH,3727,FCO,1510
238,A3,96,ATH,3727,FRA,337
239,A3,96,ATH,3727,GVA,1617
240,A3,96,ATH,3727,HBE,3205
241,A3,96,ATH,3727,HER,1412
242,A3,96,ATH,3727,IEV,2787
243,A3,96,ATH,3727,IOA,1411
244,A3,96,ATH,3727,IST,7611
245,A3,96,ATH,3727,JIK,3949
246,A3,96,ATH,3727,JKH,1410
247,A3,96,ATH,3727,JKL,3950
248,A3,96,ATH,3727,JMK,1428
249,A3,96,ATH,3727,JNX,3952
250,A3,96,ATH,3727,JSI,1435
251,A3,96,ATH,3727,JSY,4460
252,A3,96,ATH,3727,JTR,1438
253,A3,96,ATH,3727,JTY,3948
254,A3,96,ATH,3727,KGS,1418
255,A3,96,ATH,3727,KIT,1414
256,A3,96,ATH,3727,KVA,1422
257,A3,96,ATH,3727,LCA,1162
258,A3,96,ATH,3727,LED,2790
259,A3,96,ATH,3727,LHR,503
260,A3,96,ATH,3727,LRS,1424
261,A3,96,ATH,3727,LXS,1425
262,A3,96,ATH,3727,LYS,1295
263,A3,96,ATH,3727,MAD,1192
264,A3,96,ATH,3727,MAN,474
265,A3,96,ATH,3727,MJT,1429
266,A3,96,ATH,3727,MLO,3951
267,A3,96,ATH,3727,MRS,1313
268,A3,96,ATH,3727,MUC,343
269,A3,96,ATH,3727,MXP,1480
270,A3,96,ATH,3727,NTE,1378
271,A3,96,ATH,3727,OSL,635
272,A3,96,ATH,3727,OTP,1609
273,A3,96,ATH,3727,PAS,3953
274,A3,96,ATH,3727,PHL,3544
275,A3,96,ATH,3727,PRG,1541
276,A3,96,ATH,3727,RHO,1432
277,A3,96,ATH,3727,SKG,1445
278,A3,96,ATH,3727,SKU,1441
279,A3,96,ATH,3727,SMI,1436
280,A3,96,ATH,3727,SOF,1159
281,A3,96,ATH,3727,TBS,3756
282,A3,96,ATH,3727,TIA,1155
283,A3,96,ATH,3727,TLV,1544
284,A3,96,ATH,3727,TXL,348
285,A3,96,ATH,3727,VIE,1567
286,A3,96,ATH,3727,WAW,664
287,A3,96,ATH,3727,ZTH,1447
288,A3,96,AUH,2088,ATH,3727
289,A3,96,AXD,1406,ATH,3727
290,A3,96,BCN,1182,ATH,3727
291,A3,96,BEG,1681,ATH,3727
292,A3,96,BOD,1225,HER,1412
293,A3,96,BRU,300,ATH,3727
294,A3,96,BRU,300,HER,1412
295,A3,96,BUD,1448,ATH,3727
296,A3,96,CAI,1096,ATH,3727
297,A3,96,CDG,1342,ATH,3727
298,A3,96,CDG,1342,HER,1412
299,A3,96,CDG,1342,RHO,1432
300,A3,96,CDG,1342,SKG,1445
301,A3,96,CFU,1420,ATH,3727
302,A3,96,CFU,1420,DME,3807
303,A3,96,CHQ,1434,ATH,3727
304,A3,96,CHQ,1434,SKG,1445
305,A3,96,CPH,602,SKG,1445
306,A3,96,DME,3807,ATH,3727
307,A3,96,DME,3807,CFU,1420
308,A3,96,DME,3807,HER,1412
309,A3,96,DME,3807,KGS,1418
310,A3,96,DME,3807,RHO,1432
311,A3,96,DME,3807,SKG,1445
312,A3,96,DUS,342,ATH,3727
313,A3,96,DUS,342,HER,1412
314,A3,96,DUS,342,KLX,1416
315,A3,96,DUS,342,SKG,1445
316,A3,96,EFL,1415,ATH,3727
317,A3,96,FCO,1510,ATH,3727
318,A3,96,FRA,337,ATH,3727
319,A3,96,FRA,337,HER,1412
320,A3,96,FRA,337,SKG,1445
321,A3,96,GVA,1617,ATH,3727
322,A3,96,GVA,1617,OPO,1589
323,A3,96,HAJ,349,SKG,1445
324,A3,96,HBE,3205,ATH,3727
325,A3,96,HER,1412,ATH,3727
326,A3,96,HER,1412,BOD,1225
327,A3,96,HER,1412,BRU,300
328,A3,96,HER,1412,CDG,1342
329,A3,96,HER,1412,DME,3807
330,A3,96,HER,1412,DUS,342
331,A3,96,HER,1412,FRA,337
332,A3,96,HER,1412,LED,2790
333,A3,96,HER,1412,MRS,1313
334,A3,96,HER,1412,MUC,343
335,A3,96,HER,1412,RHO,1432
336,A3,96,HER,1412,SKG,1445
337,A3,96,HER,1412,TLV,1544
338,A3,96,HER,1412,TXL,348
339,A3,96,HER,1412,VIE,1567
340,A3,96,IEV,2787,ATH,3727
341,A3,96,IOA,1411,ATH,3727
342,A3,96,IST,7611,ATH,3727
343,A3,96,JIK,3949,ATH,3727
344,A3,96,JKH,1410,ATH,3727
345,A3,96,JKL,3950,ATH,3727
