2024-08-28 18:10:56,323 - INFO - Saving data to the database
2024-08-28 18:11:29,585 - DEBUG - Inserted route: ('5J', 'BCD', 'CEB')
2024-08-28 18:11:29,615 - DEBUG - Inserted route: ('5J', 'BCD', 'CGY')
2024-08-28 18:11:29,639 - DEBUG - Inserted route: ('5J', 'BCD', 'DVO')
2024-08-28 18:11:29,671 - DEBUG - Inserted route: ('5J', 'BCD', 'MNL')
2024-08-28 18:11:29,708 - DEBUG - Inserted route: ('5J', 'BKI', 'MNL')
2024-08-28 18:11:29,734 - DEBUG - Inserted route: ('5J', 'BKK', 'MNL')
2024-08-28 18:11:29,767 - DEBUG - Inserted route: ('5J', 'BWN', 'MNL')
2024-08-28 18:11:29,797 - DEBUG - Inserted route: ('5J', 'BXU', 'CEB')
2024-08-28 18:11:29,821 - DEBUG - Inserted route: ('5J', 'BXU', 'MNL')
2024-08-28 18:11:29,845 - DEBUG - Inserted route: ('5J', 'CAN', 'MNL')
2024-08-28 18:11:29,873 - DEBUG - Inserted route: ('5J', 'CBO', 'MNL')
2024-08-28 18:11:29,900 - DEBUG - Inserted route: ('5J', 'CEB', 'BCD')
2024-08-28 18:11:29,923 - DEBUG - Inserted route: ('5J', 'CEB', 'BXU')
2024-08-28 18:11:29,948 - DEBUG - Inserted route: ('5J', 'CEB', 'CGM')
2024-08-28 18:11:29,973 - DEBUG - Inserted route: ('5J', 'CEB', 'CGY')
2024-08-28 18:11:30,000 - DEBUG - Inserted route: ('5J', 'CEB', 'CRK')
2024-08-28 18:11:30,026 - DEBUG - Inserted route: ('5J', 'CEB', 'DGT')
2024-08-28 18:11:30,051 - DEBUG - Inserted route: ('5J', 'CEB', 'DPL')
2024-08-28 18:11:30,086 - DEBUG - Inserted route: ('5J', 'CEB', 'DVO')
2024-08-28 18:11:30,120 - DEBUG - Inserted route: ('5J', 'CEB', 'GES')
2024-08-28 18:11:30,150 - DEBUG - Inserted route: ('5J', 'CEB', 'HKG')
2024-08-28 18:11:30,176 - DEBUG - Inserted route: ('5J', 'CEB', 'IAO')
2024-08-28 18:11:30,204 - DEBUG - Inserted route: ('5J', 'CEB', 'ICN')
2024-08-28 18:11:30,227 - DEBUG - Inserted route: ('5J', 'CEB', 'ILO')
2024-08-28 18:11:30,258 - DEBUG - Inserted route: ('5J', 'CEB', 'KLO')
2024-08-28 18:11:30,282 - DEBUG - Inserted route: ('5J', 'CEB', 'LGP')
2024-08-28 18:11:30,310 - DEBUG - Inserted route: ('5J', 'CEB', 'MNL')
2024-08-28 18:11:30,332 - DEBUG - Inserted route: ('5J', 'CEB', 'MPH')
2024-08-28 18:11:30,359 - DEBUG - Inserted route: ('5J', 'CEB', 'OZC')
2024-08-28 18:11:30,383 - DEBUG - Inserted route: ('5J', 'CEB', 'PAG')
2024-08-28 18:11:30,406 - DEBUG - Inserted route: ('5J', 'CEB', 'PPS')
2024-08-28 18:11:30,427 - DEBUG - Inserted route: ('5J', 'CEB', 'PUS')
2024-08-28 18:11:30,448 - DEBUG - Inserted route: ('5J', 'CEB', 'SIN')
2024-08-28 18:11:30,470 - DEBUG - Inserted route: ('5J', 'CEB', 'SUG')
2024-08-28 18:11:30,488 - DEBUG - Inserted route: ('5J', 'CEB', 'TAC')
2024-08-28 18:11:30,509 - DEBUG - Inserted route: ('5J', 'CEB', 'USU')
2024-08-28 18:11:30,529 - DEBUG - Inserted route: ('5J', 'CEB', 'ZAM')
2024-08-28 18:11:30,549 - DEBUG - Inserted route: ('5J', 'CGK', 'MNL')
2024-08-28 18:11:30,570 - DEBUG - Inserted route: ('5J', 'CGM', 'CEB')
2024-08-28 18:11:30,591 - DEBUG - Inserted route: ('5J', 'CGY', 'BCD')
2024-08-28 18:11:30,614 - DEBUG - Inserted route: ('5J', 'CGY', 'CEB')
2024-08-28 18:11:30,633 - DEBUG - Inserted route: ('5J', 'CGY', 'DVO')
2024-08-28 18:11:30,654 - DEBUG - Inserted route: ('5J', 'CGY', 'ILO')
2024-08-28 18:11:30,680 - DEBUG - Inserted route: ('5J', 'CGY', 'MNL')
2024-08-28 18:11:30,705 - DEBUG - Inserted route: ('5J', 'CRK', 'CEB')
2024-08-28 18:11:30,726 - DEBUG - Inserted route: ('5J', 'CRK', 'HKG')
2024-08-28 18:11:30,745 - DEBUG - Inserted route: ('5J', 'CRK', 'MFM')
2024-08-28 18:11:30,767 - DEBUG - Inserted route: ('5J', 'CRK', 'SIN')
2024-08-28 18:11:30,787 - DEBUG - Inserted route: ('5J', 'CYZ', 'MNL')
2024-08-28 18:11:30,811 - DEBUG - Inserted route: ('5J', 'DGT', 'CEB')
2024-08-28 18:11:30,829 - DEBUG - Inserted route: ('5J', 'DGT', 'MNL')
2024-08-28 18:11:30,850 - DEBUG - Inserted route: ('5J', 'DPL', 'CEB')
2024-08-28 18:11:30,872 - DEBUG - Inserted route: ('5J', 'DPL', 'DVO')
2024-08-28 18:11:30,890 - DEBUG - Inserted route: ('5J', 'DPL', 'MNL')
2024-08-28 18:11:30,911 - DEBUG - Inserted route: ('5J', 'DPS', 'MNL')
2024-08-28 18:11:30,929 - DEBUG - Inserted route: ('5J', 'DVO', 'BCD')
2024-08-28 18:11:30,950 - DEBUG - Inserted route: ('5J', 'DVO', 'CEB')
2024-08-28 18:11:30,977 - DEBUG - Inserted route: ('5J', 'DVO', 'CGY')
2024-08-28 18:11:31,007 - DEBUG - Inserted route: ('5J', 'DVO', 'DPL')
2024-08-28 18:11:31,031 - DEBUG - Inserted route: ('5J', 'DVO', 'ILO')
2024-08-28 18:11:31,057 - DEBUG - Inserted route: ('5J', 'DVO', 'MNL')
2024-08-28 18:11:31,082 - DEBUG - Inserted route: ('5J', 'DVO', 'PPS')
2024-08-28 18:11:31,109 - DEBUG - Inserted route: ('5J', 'DVO', 'ZAM')
2024-08-28 18:11:31,128 - DEBUG - Inserted route: ('5J', 'DXB', 'MNL')
2024-08-28 18:11:31,150 - DEBUG - Inserted route: ('5J', 'GES', 'CEB')
2024-08-28 18:11:31,170 - DEBUG - Inserted route: ('5J', 'GES', 'ILO')
2024-08-28 18:11:31,191 - DEBUG - Inserted route: ('5J', 'GES', 'MNL')
2024-08-28 18:11:31,218 - DEBUG - Inserted route: ('5J', 'HAN', 'MNL')
2024-08-28 18:11:31,239 - DEBUG - Inserted route: ('5J', 'HKG', 'CEB')
2024-08-28 18:11:31,261 - DEBUG - Inserted route: ('5J', 'HKG', 'CRK')
2024-08-28 18:11:31,282 - DEBUG - Inserted route: ('5J', 'HKG', 'ILO')
2024-08-28 18:11:31,305 - DEBUG - Inserted route: ('5J', 'HKG', 'MNL')
2024-08-28 18:11:31,325 - DEBUG - Inserted route: ('5J', 'HKT', 'MNL')
2024-08-28 18:11:31,345 - DEBUG - Inserted route: ('5J', 'IAO', 'CEB')
2024-08-28 18:11:31,368 - DEBUG - Inserted route: ('5J', 'ICN', 'CEB')
2024-08-28 18:11:31,388 - DEBUG - Inserted route: ('5J', 'ICN', 'KLO')
2024-08-28 18:11:31,414 - DEBUG - Inserted route: ('5J', 'ICN', 'MNL')
2024-08-28 18:11:31,434 - DEBUG - Inserted route: ('5J', 'ILO', 'CEB')
2024-08-28 18:11:31,458 - DEBUG - Inserted route: ('5J', 'ILO', 'CGY')
2024-08-28 18:11:31,479 - DEBUG - Inserted route: ('5J', 'ILO', 'DVO')
2024-08-28 18:11:31,501 - DEBUG - Inserted route: ('5J', 'ILO', 'GES')
2024-08-28 18:11:31,523 - DEBUG - Inserted route: ('5J', 'ILO', 'HKG')
2024-08-28 18:11:31,543 - DEBUG - Inserted route: ('5J', 'ILO', 'MNL')
2024-08-28 18:11:31,565 - DEBUG - Inserted route: ('5J', 'ILO', 'PPS')
2024-08-28 18:11:31,585 - DEBUG - Inserted route: ('5J', 'ILO', 'SIN')
2024-08-28 18:11:31,605 - DEBUG - Inserted route: ('5J', 'KIX', 'MNL')
2024-08-28 18:11:31,625 - DEBUG - Inserted route: ('5J', 'KLO', 'CEB')
2024-08-28 18:11:31,645 - DEBUG - Inserted route: ('5J', 'KLO', 'ICN')
2024-08-28 18:11:31,666 - DEBUG - Inserted route: ('5J', 'KLO', 'MNL')
2024-08-28 18:11:31,688 - DEBUG - Inserted route: ('5J', 'KUL', 'MNL')
2024-08-28 18:11:31,712 - DEBUG - Inserted route: ('5J', 'LAO', 'MNL')
2024-08-28 18:11:31,731 - DEBUG - Inserted route: ('5J', 'LGP', 'CEB')
2024-08-28 18:11:31,749 - DEBUG - Inserted route: ('5J', 'LGP', 'MNL')
2024-08-28 18:11:31,768 - DEBUG - Inserted route: ('5J', 'MFM', 'CRK')
2024-08-28 18:11:31,788 - DEBUG - Inserted route: ('5J', 'MFM', 'MNL')
2024-08-28 18:11:31,811 - DEBUG - Inserted route: ('5J', 'MNL', 'BCD')
2024-08-28 18:11:31,830 - DEBUG - Inserted route: ('5J', 'MNL', 'BKI')
2024-08-28 18:11:31,848 - DEBUG - Inserted route: ('5J', 'MNL', 'BKK')
2024-08-28 18:11:31,871 - DEBUG - Inserted route: ('5J', 'MNL', 'BWN')
2024-08-28 18:11:31,892 - DEBUG - Inserted route: ('5J', 'MNL', 'BXU')
2024-08-28 18:11:31,913 - DEBUG - Inserted route: ('5J', 'MNL', 'CAN')
2024-08-28 18:11:31,932 - DEBUG - Inserted route: ('5J', 'MNL', 'CBO')
2024-08-28 18:11:31,952 - DEBUG - Inserted route: ('5J', 'MNL', 'CEB')
2024-08-28 18:11:31,971 - DEBUG - Inserted route: ('5J', 'MNL', 'CGK')
2024-08-28 18:11:31,992 - DEBUG - Inserted route: ('5J', 'MNL', 'CGY')
2024-08-28 18:11:32,015 - DEBUG - Inserted route: ('5J', 'MNL', 'CYZ')
2024-08-28 18:11:32,036 - DEBUG - Inserted route: ('5J', 'MNL', 'DGT')
2024-08-28 18:11:32,060 - DEBUG - Inserted route: ('5J', 'MNL', 'DPL')
2024-08-28 18:11:32,080 - DEBUG - Inserted route: ('5J', 'MNL', 'DPS')
2024-08-28 18:11:32,098 - DEBUG - Inserted route: ('5J', 'MNL', 'DVO')
2024-08-28 18:11:32,116 - DEBUG - Inserted route: ('5J', 'MNL', 'DXB')
2024-08-28 18:11:32,136 - DEBUG - Inserted route: ('5J', 'MNL', 'GES')
2024-08-28 18:11:32,162 - DEBUG - Inserted route: ('5J', 'MNL', 'HAN')
2024-08-28 18:11:32,182 - DEBUG - Inserted route: ('5J', 'MNL', 'HKG')
2024-08-28 18:11:32,203 - DEBUG - Inserted route: ('5J', 'MNL', 'HKT')
2024-08-28 18:11:32,223 - DEBUG - Inserted route: ('5J', 'MNL', 'ICN')
2024-08-28 18:11:32,242 - DEBUG - Inserted route: ('5J', 'MNL', 'ILO')
2024-08-28 18:11:32,265 - DEBUG - Inserted route: ('5J', 'MNL', 'KIX')
2024-08-28 18:11:32,284 - DEBUG - Inserted route: ('5J', 'MNL', 'KLO')
2024-08-28 18:11:32,304 - DEBUG - Inserted route: ('5J', 'MNL', 'KUL')
2024-08-28 18:11:32,323 - DEBUG - Inserted route: ('5J', 'MNL', 'LAO')
2024-08-28 18:11:32,342 - DEBUG - Inserted route: ('5J', 'MNL', 'LGP')
2024-08-28 18:11:32,366 - DEBUG - Inserted route: ('5J', 'MNL', 'MFM')
2024-08-28 18:11:32,386 - DEBUG - Inserted route: ('5J', 'MNL', 'MPH')
2024-08-28 18:11:32,410 - DEBUG - Inserted route: ('5J', 'MNL', 'NGO')
2024-08-28 18:11:32,433 - DEBUG - Inserted route: ('5J', 'MNL', 'NRT')
2024-08-28 18:11:32,457 - DEBUG - Inserted route: ('5J', 'MNL', 'OZC')
2024-08-28 18:11:32,480 - DEBUG - Inserted route: ('5J', 'MNL', 'PAG')
2024-08-28 18:11:32,506 - DEBUG - Inserted route: ('5J', 'MNL', 'PEK')
2024-08-28 18:11:32,529 - DEBUG - Inserted route: ('5J', 'MNL', 'PPS')
2024-08-28 18:11:32,549 - DEBUG - Inserted route: ('5J', 'MNL', 'PUS')
2024-08-28 18:11:32,573 - DEBUG - Inserted route: ('5J', 'MNL', 'PVG')
2024-08-28 18:11:32,594 - DEBUG - Inserted route: ('5J', 'MNL', 'REP')
2024-08-28 18:11:32,618 - DEBUG - Inserted route: ('5J', 'MNL', 'RXS')
2024-08-28 18:11:32,640 - DEBUG - Inserted route: ('5J', 'MNL', 'SGN')
2024-08-28 18:11:32,665 - DEBUG - Inserted route: ('5J', 'MNL', 'SIN')
2024-08-28 18:11:32,685 - DEBUG - Inserted route: ('5J', 'MNL', 'SJI')
2024-08-28 18:11:32,708 - DEBUG - Inserted route: ('5J', 'MNL', 'TAC')
2024-08-28 18:11:32,728 - DEBUG - Inserted route: ('5J', 'MNL', 'TAG')
2024-08-28 18:11:32,750 - DEBUG - Inserted route: ('5J', 'MNL', 'TPE')
2024-08-28 18:11:32,775 - DEBUG - Inserted route: ('5J', 'MNL', 'TUG')
2024-08-28 18:11:32,799 - DEBUG - Inserted route: ('5J', 'MNL', 'USU')
2024-08-28 18:11:32,820 - DEBUG - Inserted route: ('5J', 'MNL', 'VRC')
2024-08-28 18:11:32,842 - DEBUG - Inserted route: ('5J', 'MNL', 'WNP')
2024-08-28 18:11:32,863 - DEBUG - Inserted route: ('5J', 'MNL', 'XMN')
